WorkcenterDesc,Material_Code,Material_Desc,MIC_Desc,SampleSize,SampleNumber,Result,MICUoM,LSL,Target,USL,PostingDate,UserName,InspectionComments,InspectionPlan,COAComments
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,17,38.15,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,19,37.72,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,20,36.12,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,21,36.4,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,22,36.42,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,23,37.09,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,24,37.96,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,25,37.76,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,26,37.54,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,27,37.4,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,28,37.43,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,29,36.92,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,30,37.31,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,2,37.46,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,3,38.17,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,5,38.34,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,6,38.28,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,9,38.11,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I13,165064CST35,35CT SOUP CONT CST,Part Weight,30,13,38.06,g,38.5,40.5,41.7,9/1/22 7:28,jhuertas,,In Process Variables - Operator,
I5,5814U25,"25CT 14\ SQR PET UPLTR DLID""",Part Weight,9,3,106.14,g,97.9,103,106.1,9/1/22 7:36,mavila,,In Process Variables - Operator,
I5,5814U25,"25CT 14\ SQR PET UPLTR DLID""",Part Weight,9,4,97.13,g,97.9,103,106.1,9/1/22 7:36,mavila,,In Process Variables - Operator,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,8,85.85,g,78.4,82.5,85,9/1/22 7:44,hmorad,,In Process Variables - Operator,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,11,85.38,g,78.4,82.5,85,9/1/22 7:44,hmorad,,In Process Variables - Operator,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,14,85.08,g,78.4,82.5,85,9/1/22 7:44,hmorad,,In Process Variables - Operator,
I8,94160B50,Blk160ozLgSqrBwl,Wall Thickness Bottom 1,4,1,0.017,IN,0.018,0.019,0.03,9/1/22 7:44,hmorad,,In Process Variables - Operator,
I8,94160B50,Blk160ozLgSqrBwl,Wall Thickness Bottom 1,4,4,0.017,IN,0.018,0.019,0.03,9/1/22 7:44,hmorad,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Perforation Test,5,5,Reject,,NA,NA,NA,9/1/22 8:56,dgonzalez,,In Process Attributes - Operator,
I13,165064CST35,35CT SOUP CONT CST,Visual Evaluation,30,1,Reject,,NA,NA,NA,9/1/22 10:24,mvaldez,ONE ROW NO PACK POOR FORMING  AND MARKS,In Process Attributes,
I13,165064CST35,35CT SOUP CONT CST,Visual Evaluation,30,2,Reject,,NA,NA,NA,9/1/22 10:24,mvaldez,ONE ROW NO PACK POOR FORMING  AND MARKS,In Process Attributes,
I13,165064CST35,35CT SOUP CONT CST,Visual Evaluation,30,3,Reject,,NA,NA,NA,9/1/22 10:24,mvaldez,ONE ROW NO PACK POOR FORMING  AND MARKS,In Process Attributes,
I13,165064CST35,35CT SOUP CONT CST,Visual Evaluation,30,4,Reject,,NA,NA,NA,9/1/22 10:24,mvaldez,ONE ROW NO PACK POOR FORMING  AND MARKS,In Process Attributes,
I13,165064CST35,35CT SOUP CONT CST,Visual Evaluation,30,5,Reject,,NA,NA,NA,9/1/22 10:24,mvaldez,ONE ROW NO PACK POOR FORMING  AND MARKS,In Process Attributes,
I13,165064CST35,35CT SOUP CONT CST,Visual Evaluation,30,6,Reject,,NA,NA,NA,9/1/22 10:24,mvaldez,ONE ROW NO PACK POOR FORMING  AND MARKS,In Process Attributes,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,7,20.76,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,10,21.02,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,12,20.78,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,13,20.78,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,26,18.58,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,27,17.74,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,28,18.83,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I11,52800TR50,50CT 7.5IN CLR PET TR SQDLID,Part Weight,30,30,18.9,g,19,20,20.6,9/1/22 11:09,dgonzalez,,In Process Variables - Operator,
I7,9018430CST40,"40CT 7 X 18\ RCT BLK PLTR W/BUTTON LOCKS""",Part Weight,12,10,59.1,g,53.4,56.2,59,9/1/22 11:43,nangelovska,,In Process Variables,
I7,9018430CST40,"40CT 7 X 18\ RCT BLK PLTR W/BUTTON LOCKS""",Silicone Ratio,1,1,1.334,EA,1.3347,1.33493,1.33517,9/1/22 11:43,nangelovska,,In Process Variables,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,5,87,g,78.4,82.5,85,9/1/22 11:43,nangelovska,,In Process Variables,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,6,89.33,g,78.4,82.5,85,9/1/22 11:43,nangelovska,,In Process Variables,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,8,85.81,g,78.4,82.5,85,9/1/22 11:43,nangelovska,,In Process Variables,
I8,94160B50,Blk160ozLgSqrBwl,Part Weight,16,9,88.51,g,78.4,82.5,85,9/1/22 11:43,nangelovska,,In Process Variables,
